Most popular names for babies in the U.S.

Waylon	2774	141	2420	158	2053	194
Calvin	2747	142	2698	142	2790	149
Giovanni	2747	142	2793	138	2928	141
Jonah	2697	143	2508	151	2766	150
Abel	2663	144	2699	141	3031	137
Jayce	2635	145	2898	135	2964	138
Jesus	2631	146	2745	140	3073	134
Amir	2584	147	2611	146	2436	164
King	2579	148	2677	143	2655	153
Beau	2576	149	2500	153	2119	186
Camden	2543	150	2660	144	3338	124
Alex	2505	151	2592	147	2841	146
Jasper	2484	152	2101	180	1907	207
Malachi	2473	153	2525	149	2618	155
Brody	2470	154	2547	148	3051	135
Jude	2468	155	2507	152	2516	160
Blake	2446	156	2613	145	3281	127
Emmanuel	2404	157	2511	150	2569	158
Eric	2389	158	2764	139	2920	142
Brooks	2368	159	1929	199	1669	231
Elliot	2358	160	2428	157	2236	178
Antonio	2352	161	2476	154	2555	159
Abraham	2344	162	2321	165	2579	157
Timothy	2330	163	2405	159	2658	152
Finn	2316	164	2377	163	2293	173
Rhett	2304	165	2197	176	1767	218
Elliott	2286	166	2435	156	2091	190
Edward	2268	167	2315	166	2503	162
August	2264	168	2052	186	2086	191
Xander	2257	169	2403	160	2006	199
Alan	2244	170	2440	155	2629	154
Dean	2241	171	2077	183	1963	203
Lorenzo	2241	171	1999	192	1870	208
Bryce	2228	172	2384	162	2839	147
Karter	2226	173	2276	171	2118	187
Victor	2213	174	2400	161	2457	163
Milo	2185	175	1698	219	1509	245
Miguel	2171	176	2272	172	2503	162
Hayden	2168	177	2280	169	2385	167
Graham	2165	178	2108	179	2246	177
Grant	2162	179	2288	168	2349	169
Zion	2153	180	1969	194	1838	211
Tucker	2152	181	2216	175	2305	171
Jesse	2126	182	2087	182	2294	172
Zayden	2126	182	2067	185	2125	183
Joel	2119	183	2255	173	2419	165
Richard	2119	183	2279	170	2515	161
Patrick	2111	184	2295	167	2355	168
Emiliano	2108	185	1872	203	1699	226
Avery	2098	186	2189	177	2117	188
Nicolas	2094	187	1912	201	2078	192
Brantley	2092	188	2323	164	2603	156
Dawson	2089	189	2008	191	1791	214
Myles	2085	190	1801	207	1697	227
Matteo	2084	191	2076	184	2385	167
River	2051	192	1963	195	1845	210
Steven	2022	193	2157	178	2391	166
Thiago	2020	194	1766	212	1369	259
Zane	2014	195	1946	197	1864	209
Matias	2007	196	1560	230	915	348
Judah	1993	197	1913	200	1673	230
Messiah	1983	198	1978	193	1785	216
Jeremy	1955	199	2041	188	2128	182
Preston	1954	200	2067	185	2309	170
Oscar	1945	201	2043	187	2258	174
Kaleb	1906	202	2099	181	2257	175
Alejandro	1895	203	2031	189	2205	179
Marcus	1880	204	2023	190	2174	181
Mark	1859	205	1940	198	2064	193
Peter	1812	206	1791	208	1921	205
Maximus	1803	207	1958	196	2120	185
Barrett	1802	208	1609	228	1387	256
Jax	1751	209	1711	217	1809	213
Andres	1736	210	1752	214	1786	215
Holden	1720	211	1527	236	1356	262
Legend	1718	212	1453	247	1138	301
Charlie	1716	213	1782	209	1707	225
Knox	1698	214	1634	227	1534	243
Kaden	1687	215	1849	204	2028	197
Paxton	1677	216	1904	202	1990	201
Kyrie	1673	217	1776	210	1261	276
Kyle	1668	218	1832	206	2024	198
Griffin	1662	219	1520	237	1694	228
Josue	1658	220	1536	234	1350	263
Kenneth	1655	221	1759	213	1914	206
Beckett	1647	222	1684	221	1836	212
Enzo	1646	223	1426	249	1147	298
Adriel	1642	224	1465	245	1594	238
Arthur	1642	224	1509	240	1342	264
Felix	1638	225	1511	238	1508	246
Bryan	1633	226	1835	205	2124	184
Lukas	1630	227	1730	215	1753	219
Paul	1625	228	1690	220	1935	204
Brian	1618	229	1770	211	1978	202
Colt	1615	230	1330	261	1030	324
Caden	1600	231	1710	218	1991	200
Leon	1595	232	1510	239	1309	268
Archer	1583	233	1455	246	1381	257
Omar	1577	234	1641	224	1733	221
Israel	1574	235	1591	229	1675	229
Aidan	1552	236	1725	216	2108	189
Theo	1541	237	1229	279	950	340
Javier	1539	238	1640	225	1630	234
Remington	1524	239	1501	241	1414	251
Jaden	1487	240	1635	226	1781	217
Bradley	1486	241	1644	223	2046	196
Emilio	1486	241	1393	252	1339	265
Colin	1472	242	1664	222	2049	195
Riley	1455	243	1465	245	1717	223
Cayden	1449	244	1530	235	1552	242
Phoenix	1444	245	1344	258	1234	283
Clayton	1438	246	1486	243	1374	258
Simon	1435	247	1376	254	1553	241
Ace	1434	248	1231	278	1037	322
Nash	1399	249	1280	272	1257	277
Derek	1398	250	1543	233	1710	224
Rafael	1393	251	1280	272	1238	282
Zander	1383	252	1554	231	1387	256
Brady	1377	253	1684	221	1750	220
Jorge	1377	253	1548	232	1722	222
Jake	1372	254	1498	242	1581	240
Louis	1368	255	1299	267	1242	280
Damien	1349	256	1346	257	1301	270
Karson	1335	257	1261	275	1099	308
Walker	1332	258	1099	301	1047	318
Maximiliano	1327	259	1196	284	1387	256
Amari	1312	260	1316	266	1358	261
Sean	1310	261	1473	244	1662	232
Chance	1304	262	1337	259	1338	266
Walter	1303	263	1362	256	1168	293
Martin	1286	264	1282	271	1395	254
Finley	1280	265	1292	268	1251	278
Andre	1275	266	1365	255	1394	255
Tobias	1274	267	1331	260	1519	244
Cash	1267	268	1266	274	1443	250
Corbin	1257	269	1418	250	1604	235
Arlo	1256	270	1087	302	973	335
Iker	1254	271	1285	270	1636	233
Erick	1245	272	1432	248	1599	237
Emerson	1238	273	1317	265	1225	286
Gunner	1238	273	1386	253	1450	248
Cody	1237	274	1291	269	1403	252
Stephen	1236	275	1330	261	1374	258
Francisco	1235	276	1401	251	1445	249
Killian	1224	277	1501	241	1381	257
Dallas	1219	278	1393	252	1223	287
Reid	1217	279	1246	277	1395	254
Manuel	1206	280	1325	263	1297	271
Lane	1205	281	1178	287	1229	285
Atlas	1204	282	1041	313	796	377
Rylan	1191	283	1256	276	1399	253
Jensen	1188	284	1003	321	903	350
Ronan	1187	285	1193	285	1109	305
Beckham	1182	286	1269	273	1119	303
Daxton	1176	287	1000	323	923	344
Anderson	1161	288	1198	283	1159	295
Kameron	1155	289	1324	264	1445	249
Raymond	1149	290	1200	282	1272	275
Orion	1141	291	1022	318	1068	314
Cristian	1137	292	1181	286	1212	288
Tanner	1134	293	1327	262	1602	236
Kyler	1128	294	1065	305	1181	290
Jett	1122	295	1169	289	1115	304
Cohen	1120	296	1099	301	1088	311
Ricardo	1119	297	1164	291	1297	271
Spencer	1101	298	1205	281	1367	260
Gideon	1092	299	1155	292	1026	326
Ali	1089	300	1114	298	1086	312
Fernando	1089	300	1137	294	1244	279
Jaiden	1080	301	1139	293	1232	284
Titus	1076	302	1174	288	1286	274
Travis	1072	303	1164	291	1303	269
Bodhi	1071	304	1165	290	916	347
Eduardo	1066	305	1228	280	1324	267
Dante	1065	306	1075	303	1008	330
Ellis	1058	307	1107	299	999	332
Prince	1058	307	983	329	1008	330
Kane	1048	308	942	336	790	382
Luka	1041	309	703	409	649	440
Kash	1040	310	937	339	903	350
Hendrix	1026	311	963	333	792	380
Desmond	1024	312	1044	311	894	353
Donovan	1021	313	1055	308	1156	296
Mario	1018	314	1135	295	1154	297
Atticus	1016	315	955	334	918	346
Cruz	1011	316	966	332	1013	329
Garrett	1010	317	1056	307	1146	299
Hector	1006	318	1071	304	1097	309
Angelo	1004	319	1023	317	1047	318
Jeffrey	1003	320	1052	310	1169	292
Edwin	1000	321	1032	316	1102	307
Cesar	998	322	1100	300	1159	295
Zayn	996	323	989	327	747	395
Devin	995	324	1034	315	1170	291
Conor	994	325	1129	296	1084	313
Warren	993	326	911	344	825	369
Odin	989	327	899	350	834	366
Jayceon	985	328	1100	300	1473	247
Romeo	977	329	916	342	897	352
Julius	976	330	1002	322	1021	327
Jaylen	971	331	987	328	891	355
Hayes	969	332	762	386	715	407
Kayson	961	333	967	331	851	363
Muhammad	960	334	897	352	958	338
Jaxton	955	335	892	353	795	378
Joaquin	944	336	903	346	997	333
Caiden	942	337	1043	312	1129	302
Dakota	936	338	990	326	868	359
Major	936	338	1036	314	982	334
Keegan	934	339	1116	297	1290	273
Sergio	932	340	940	337	1039	321
Marshall	931	341	936	340	1006	331
Johnny	929	342	968	330	1033	323
Kade	926	343	750	389	777	388
Edgar	921	344	939	338	1013	329
Leonel	921	344	902	347	889	356
Ismael	915	345	811	373	791	381
Marco	915	345	1010	320	1062	316
Tyson	915	345	1053	309	1040	320
Wade	913	346	902	347	788	383
Collin	910	347	991	325	1202	289
